,Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude,is_prefecture,is_sous_prefecture
0,Corrèze,19263,Soudeilles,294.0,45.45,2.050003,False,False
1,Côte-d'Or,21032,Aubigny-la-Ronce,167.0,46.95,4.649994,False,False
2,Côte-d'Or,21079,Blagny-sur-Vingeanne,127.0,47.45,5.350006,False,False
3,Côte-d'Or,21110,Brochon,657.0,47.25,4.949997,False,False
4,Côte-d'Or,21121,Bussy-la-Pesle,76.0,47.35,4.75,False,False
5,Côte-d'Or,21132,Chambœuf,395.0,47.25,4.850006,False,False
6,Côte-d'Or,21150,Chassagne-Montrachet,275.0,46.95,4.75,False,False
7,Côte-d'Or,21173,Chorey-les-Beaune,610.0,47.05,4.850006,False,False
8,Côte-d'Or,21198,Corrombles,246.0,47.55,4.25,False,False
9,Côte-d'Or,21201,Coulmier-le-Sec,239.0,47.75,4.550003,False,False
10,Côte-d'Or,21232,Dompierre-en-Morvan,199.0,47.45,4.25,False,False
11,Côte-d'Or,21247,Époisses,747.0,47.55,4.149994,False,False
12,Côte-d'Or,21329,Juilly,40.0,47.45,4.350006,False,False
13,Côte-d'Or,21343,Larrey,96.0,47.95,4.449997,False,False
14,Côte-d'Or,21381,Marcilly-et-Dracy,89.0,47.45,4.550003,False,False
15,Côte-d'Or,21393,Massingy,166.0,47.95,4.649994,False,False
16,Côte-d'Or,21420,Molinot,158.0,47.05,4.550003,False,False
17,Côte-d'Or,21467,Oisilly,124.0,47.45,5.350006,False,False
18,Côte-d'Or,21528,La Roche-Vanneau,135.0,47.45,4.550003,False,False
19,Côte-d'Or,21531,Rouvray,497.0,47.45,4.149994,False,False
20,Côte-d'Or,21575,Saint-Symphorien-sur-Saône,328.0,47.05,5.350006,False,False
21,Côte-d'Or,21624,Tellecey,142.0,47.25,5.25,False,False
22,Côte-d'Or,21703,Villiers-en-Morvan,49.0,47.15,4.25,False,False
23,Côtes-d'Armor,22069,Guenroc,217.0,48.35,-2.0499878,False,False
24,Côtes-d'Armor,22112,Lannebert,439.0,48.65,-3.0499878,False,False
25,Côtes-d'Armor,22128,Locarn,409.0,48.35,-3.4500122,False,False
26,Côtes-d'Armor,22166,Penvénan,2511.0,48.85,-3.3499756,False,False
27,Côtes-d'Armor,22278,Saint-Brieuc,44224.0,48.55,-2.75,True,False
28,Côtes-d'Armor,22287,Saint-Donan,1456.0,48.45,-2.8499756,False,False
29,Creuse,23137,Mourioux-Vieilleville,521.0,46.05,1.6499939,False,False
30,Creuse,23174,Soumans,572.0,46.35,2.350006,False,False
31,Creuse,23197,Saint-Georges-la-Pouge,368.0,46.05,1.949997,False,False
32,Creuse,23205,Saint-Junien-la-Bregère,144.0,45.85,1.75,False,False
33,Creuse,23243,Saint-Silvain-sous-Toulx,147.0,46.25,2.149994,False,False
34,Creuse,23246,Saint-Sulpice-les-Champs,345.0,45.95,2.050003,False,False
35,Dordogne,24030,Beauregard-de-Terrasson,679.0,45.15,1.25,False,False
36,Dordogne,24040,Beynac-et-Cazenac,497.0,44.85,1.1499939,False,False
