date;value
24-01-2023;0
25-01-2023;0
26-03-2023; 0
27-03-2023;1.2
28-03-2023;1.2
29-03-2023;1.2
30-03-2023;1.2
31-03-2023;1.2
01-04-2023;1.2
02-04-2023;1.2
03-04-2023;1.2
04-04-2023;1.2
05-04-2023;1.2
06-04-2023;1.2
07-04-2023;1.2
08-04-2023;1.2
09-04-2023;1.2
10-04-2023;1.2
11-04-2023;1.2
12-04-2023;1.2
13-04-2023;1.2
14-04-2023;1.2
15-04-2023;1.2
16-04-2023;1.2
17-04-2023;1.2
18-04-2023;1.2
19-04-2023;1.2
20-04-2023;1.2
21-04-2023;1.2
22-04-2023;1.2
23-04-2023;1.2
24-04-2023;1.8
25-04-2023;1.8
26-04-2023;1.8
27-04-2023;1.8
28-04-2023;1.8
29-04-2023;1.8
30-04-2023;1.8
01-05-2023;3
02-05-2023;3
03-05-2023;3
04-05-2023;3
05-05-2023;3
06-05-2023;3
07-05-2023;3
08-05-2023;3
09-05-2023;3
10-05-2023;3
11-05-2023;3
08-06-2023;3
09-06-2023;3
10-06-2023;3
11-06-2023;3
12-06-2023;3
13-06-2023;3
14-06-2023;3
15-06-2023;3
16-06-2023;3
17-06-2023;3
18-06-2023;3
19-06-2023;3
20-06-2023;3
21-06-2023;3
22-06-2023;3
23-06-2023;3
24-06-2023;3
25-06-2023;3
26-06-2023;3
27-06-2023;3
28-06-2023;3
29-06-2023;3
30-06-2023;3
01-07-2023;3
02-07-2023;3
03-07-2023;3
04-07-2023;3
05-07-2023;3
06-07-2023;3
07-07-2023;3
08-07-2023;3
09-07-2023;3
10-07-2023;1.8
11-07-2023;1.8
12-07-2023;1.8
13-07-2023;1.8
14-07-2023;1.8
15-07-2023;1.8
16-07-2023;1.8
17-07-2023;1.8
18-07-2023;1.8
19-07-2023;1.8
20-07-2023;1.8
21-07-2023;1.8
22-07-2023;1.8
23-07-2023;1.8
24-07-2023;1.2
25-07-2023;1.2
26-07-2023;1.2
27-07-2023;1.2
28-07-2023;1.2
29-07-2023;1.2
30-07-2023;1.2
31-07-2023;1.2
01-08-2023;1.2
02-08-2023;1.2
03-08-2023;1.2
04-08-2023;1.2
05-08-2023;1.2
06-08-2023;1.2
07-08-2023;1.2
08-08-2023;1.2
09-08-2023;1.2
10-08-2023;1.2
11-08-2023;1.2
12-08-2023;1.2
13-08-2023;1.2
14-08-2023;1.2
15-08-2023;1.2
16-08-2023;1.2
17-08-2023;1.2
18-08-2023;1.2
19-08-2023;1.2
20-08-2023;1.2
21-08-2023;1.2
22-08-2023;1.2
23-08-2023;1.2
24-08-2023;1.2
25-08-2023;1.2
26-08-2023;1.2
27-08-2023;1.2
28-08-2023;1.2
29-08-2023;1.2
30-08-2023;1.2
31-08-2023;1.2
01-09-2023;1.2
02-09-2023;1.2
03-09-2023;1.2
04-09-2023;1.2
05-09-2023;1.2
06-09-2023;1.2
07-09-2023;1.2
08-09-2023;1.2
09-09-2023;1.2
10-09-2023;1.2
11-09-2023;1.2
12-09-2023;1.2
13-09-2023;1.2
14-09-2023;1.2
15-09-2023;1.2
16-09-2023;1.2
17-09-2023;1.2
18-09-2023;1.2
19-09-2023;1.2
20-09-2023;1.2
21-09-2023;1.2
22-09-2023;1.2
23-09-2023;1.2
24-09-2023;1.2
25-09-2023;1.2
26-09-2023;1.2
27-09-2023;1.2
28-09-2023;1.2
29-09-2023;1.2
30-09-2023;1.2
01-10-2023;1.2
02-10-2023;1.2
03-10-2023;1.2
04-10-2023;1.2
05-10-2023;1.2
06-10-2023;1.2
07-10-2023;1.2
08-10-2023;1.2
09-10-2023;1.2
10-10-2023;1.2
11-10-2023;1.2
12-10-2023;1.2
13-10-2023;1.2
14-10-2023;1.2
15-10-2023;1.2
16-10-2023;1.2
17-10-2023;1.2
18-10-2023;1.2
19-10-2023;1.2
20-10-2023;1.2
21-10-2023;1.2
22-10-2023;1.2
30-10-2023;0
31-10-2023;0
01-11-2023;0
02-11-2023;0
03-11-2023;0
04-11-2023;0
05-11-2023;0
