CODGEO;REG;DEP;LIBGEO;PMUN2021
01001;84;01;L'Abergement-Clémenciat;832
01002;84;01;L'Abergement-de-Varey;267
01004;84;01;Ambérieu-en-Bugey;14 854
01005;84;01;Ambérieux-en-Dombes;1 897
01006;84;01;Ambléon;113
01007;84;01;Ambronay;2 833
01008;84;01;Ambutrix;768
01009;84;01;Andert-et-Condon;322
01010;84;01;Anglefort;1 125
01011;84;01;Apremont;383
01012;84;01;Aranc;327
01013;84;01;Arandas;141
01014;84;01;Arbent;3 409
01015;84;01;Arboys en Bugey;667
01016;84;01;Arbigny;459
01017;84;01;Argis;432
01019;84;01;Armix;26
01021;84;01;Ars-sur-Formans;1 498
01022;84;01;Artemare;1 177
01023;84;01;Asnières-sur-Saône;77
01024;84;01;Attignat;3 336
01025;84;01;Bâgé-Dommartin;4 065
01026;84;01;Bâgé-le-Châtel;979
01027;84;01;Balan;2 692
01028;84;01;Baneins;621
01029;84;01;Beaupont;700
01030;84;01;Beauregard;830
01031;84;01;Bellignat;3 636
01032;84;01;Béligneux;3 434
01033;84;01;Valserhône;16 295
01034;84;01;Belley;9 239
01035;84;01;Belleydoux;306
01036;84;01;Valromey-sur-Séran;1 342
01037;84;01;Bénonces;310
01038;84;01;Bény;764
01040;84;01;Béréziat;480
01041;84;01;Bettant;749
01042;84;01;Bey;290
01043;84;01;Beynost;4 877
01044;84;01;Billiat;626
01045;84;01;Birieux;284
01046;84;01;Biziat;904
01047;84;01;Blyes;1 292
01049;84;01;La Boisse;3 361
01050;84;01;Boissey;386
01051;84;01;Bolozon;95
01052;84;01;Bouligneux;327
01053;84;01;Bourg-en-Bresse;41 525
01054;84;01;Bourg-Saint-Christophe;1 517
01056;84;01;Boyeux-Saint-Jérôme;356
01057;84;01;Boz;510
01058;84;01;Brégnier-Cordon;818
01060;84;01;Brénod;518
01061;84;01;Brens;1 129
01062;84;01;Bressolles;978
01063;84;01;Brion;576
01064;84;01;Briord;1 099
01065;84;01;Buellas;1 851
01066;84;01;La Burbanche;95
01067;84;01;Ceignes;261
01068;84;01;Cerdon;761
01069;84;01;Certines;1 505
01071;84;01;Cessy;5 307
01072;84;01;Ceyzériat;3 285
01073;84;01;Ceyzérieu;992
01074;84;01;Chalamont;2 559
01075;84;01;Chaleins;1 430
01076;84;01;Chaley;124
01077;84;01;Challes-la-Montagne;189
01078;84;01;Challex;1 619
01079;84;01;Champagne-en-Valromey;826
01080;84;01;Champdor-Corcelles;645
01081;84;01;Champfromier;718
01082;84;01;Chanay;616
01083;84;01;Chaneins;1 003
01084;84;01;Chanoz-Châtenay;931
01085;84;01;La Chapelle-du-Châtelard;394
01087;84;01;Charix;279
01088;84;01;Charnoz-sur-Ain;898
01089;84;01;Château-Gaillard;2 287
01090;84;01;Châtenay;360
01092;84;01;Châtillon-la-Palud;1 649
01093;84;01;Châtillon-sur-Chalaronne;5 059
01094;84;01;Chavannes-sur-Reyssouze;767
01095;84;01;Nivigne et Suran;832
01096;84;01;Chaveyriat;1 036
01098;84;01;Chazey-Bons;1 188
01099;84;01;Chazey-sur-Ain;1 600
01100;84;01;Cheignieu-la-Balme;131
01101;84;01;Chevillard;150
01102;84;01;Chevroux;973
01103;84;01;Chevry;2 261
01104;84;01;Chézery-Forens;445
01105;84;01;Civrieux;1 916
01106;84;01;Cize;176
01107;84;01;Cleyzieu;140
01108;84;01;Coligny;1 227
01109;84;01;Collonges;2 249
01110;84;01;Colomieu;163
01111;84;01;Conand;135
01112;84;01;Condamine;473
01113;84;01;Condeissiat;815
01114;84;01;Confort;685
01115;84;01;Confrançon;1 348
01116;84;01;Contrevoz;493
01117;84;01;Conzieu;149
01118;84;01;Corbonod;1 296
01121;84;01;Corlier;117
01123;84;01;Cormoranche-sur-Saône;1 162
01124;84;01;Cormoz;703
01125;84;01;Corveissiat;596
01127;84;01;Courmangoux;504
01128;84;01;Courtes;297
01129;84;01;Crans;306
01130;84;01;Bresse Vallons;2 380
01133;84;01;Cressin-Rochefort;389
01134;84;01;Crottet;1 818
01135;84;01;Crozet;2 288
01136;84;01;Cruzilles-lès-Mépillat;943
01138;84;01;Culoz-Béon;3 426
01139;84;01;Curciat-Dongalon;451
01140;84;01;Curtafond;784
01141;84;01;Cuzieu;433
01142;84;01;Dagneux;4 753
01143;84;01;Divonne-les-Bains;10 137
01145;84;01;Dompierre-sur-Veyle;1 207
01146;84;01;Dompierre-sur-Chalaronne;437
01147;84;01;Domsure;526
01148;84;01;Dortan;1 953
01149;84;01;Douvres;1 094
01150;84;01;Drom;215
01151;84;01;Druillat;1 139
01152;84;01;Échallon;765
01153;84;01;Échenevex;2 127
01155;84;01;Évosges;142
01156;84;01;Faramans;877
01157;84;01;Fareins;2 431
01158;84;01;Farges;1 058
01159;84;01;Feillens;3 381
01160;84;01;Ferney-Voltaire;10 920
01162;84;01;Flaxieu;64
01163;84;01;Foissiat;2 014
01165;84;01;Francheleins;1 585
01166;84;01;Frans;2 482
01167;84;01;Garnerans;658
01169;84;01;Genouilleux;650
01170;84;01;Béard-Géovreissiat;1 048
01171;84;01;Géovreisset;835
01173;84;01;Gex;13 078
01174;84;01;Giron;176
01175;84;01;Gorrevod;786
01177;84;01;Grand-Corent;184
01179;84;01;Grièges;1 901
01180;84;01;Grilly;864
01181;84;01;Groissiat;1 230
01183;84;01;Guéreins;1 495
01184;84;01;Hautecourt-Romanèche;758
01185;84;01;Plateau d'Hauteville;4 807
01187;84;01;Haut Valromey;609
01188;84;01;Illiat;689
01189;84;01;Injoux-Génissiat;1 123
01190;84;01;Innimond;89
01191;84;01;Izenave;155
01192;84;01;Izernore;2 267
01193;84;01;Izieu;222
01194;84;01;Jassans-Riottier;6 355
01195;84;01;Jasseron;1 861
01196;84;01;Jayat;1 259
01197;84;01;Journans;380
01198;84;01;Joyeux;262
01199;84;01;Jujurieux;2 124
01200;84;01;Labalme;210
01202;84;01;Lagnieu;7 268
01203;84;01;Laiz;1 299
01204;84;01;Le Poizat-Lalleyriat;746
01206;84;01;Lantenay;270
01207;84;01;Lapeyrouse;326
01208;84;01;Lavours;136
01209;84;01;Léaz;817
01210;84;01;Lélex;230
01211;84;01;Lent;1 408
01212;84;01;Lescheroux;714
01213;84;01;Leyment;1 392
01214;84;01;Leyssard;163
01215;84;01;Surjoux-Lhopital;141
01216;84;01;Lhuis;892
01219;84;01;Lompnas;163
01224;84;01;Loyettes;3 381
01225;84;01;Lurcy;393
01227;84;01;Magnieu;655
01228;84;01;Maillat;679
01229;84;01;Malafretaz;1 214
01230;84;01;Mantenay-Montlin;308
01231;84;01;Manziat;1 955
01232;84;01;Marboz;2 268
01233;84;01;Marchamp;132
01234;84;01;Marignieu;167
01235;84;01;Marlieux;1 182
01236;84;01;Marsonnas;1 030
01237;84;01;Martignat;1 671
