Nom Officiel Département,Code Officiel Commune,Nom Officiel Commune,population,latitude,longitude
Corrèze,19263,Soudeilles,294.0,45.45,2.050003
Côte-d'Or,21032,Aubigny-la-Ronce,167.0,46.95,4.649994
Côte-d'Or,21079,Blagny-sur-Vingeanne,127.0,47.45,5.350006
Côte-d'Or,21110,Brochon,657.0,47.25,4.949997
Côte-d'Or,21121,Bussy-la-Pesle,76.0,47.35,4.75
Côte-d'Or,21132,Chambœuf,395.0,47.25,4.850006
Côte-d'Or,21150,Chassagne-Montrachet,275.0,46.95,4.75
Côte-d'Or,21173,Chorey-les-Beaune,610.0,47.05,4.850006
Côte-d'Or,21198,Corrombles,246.0,47.55,4.25
Côte-d'Or,21201,Coulmier-le-Sec,239.0,47.75,4.550003
Côte-d'Or,21232,Dompierre-en-Morvan,199.0,47.45,4.25
Côte-d'Or,21247,Époisses,747.0,47.55,4.149994
Côte-d'Or,21329,Juilly,40.0,47.45,4.350006
Côte-d'Or,21343,Larrey,96.0,47.95,4.449997
Côte-d'Or,21381,Marcilly-et-Dracy,89.0,47.45,4.550003
Côte-d'Or,21393,Massingy,166.0,47.95,4.649994
Côte-d'Or,21420,Molinot,158.0,47.05,4.550003
Côte-d'Or,21467,Oisilly,124.0,47.45,5.350006
Côte-d'Or,21528,La Roche-Vanneau,135.0,47.45,4.550003
Côte-d'Or,21531,Rouvray,497.0,47.45,4.149994
Côte-d'Or,21575,Saint-Symphorien-sur-Saône,328.0,47.05,5.350006
Côte-d'Or,21624,Tellecey,142.0,47.25,5.25
Côte-d'Or,21703,Villiers-en-Morvan,49.0,47.15,4.25
Côtes-d'Armor,22069,Guenroc,217.0,48.35,-2.0499878
Côtes-d'Armor,22112,Lannebert,439.0,48.65,-3.0499878
Côtes-d'Armor,22128,Locarn,409.0,48.35,-3.4500122
Côtes-d'Armor,22166,Penvénan,2511.0,48.85,-3.3499756
Côtes-d'Armor,22278,Saint-Brieuc,44224.0,48.55,-2.75
Côtes-d'Armor,22287,Saint-Donan,1456.0,48.45,-2.8499756
Creuse,23137,Mourioux-Vieilleville,521.0,46.05,1.6499939
Creuse,23174,Soumans,572.0,46.35,2.350006
Creuse,23197,Saint-Georges-la-Pouge,368.0,46.05,1.949997
Creuse,23205,Saint-Junien-la-Bregère,144.0,45.85,1.75
Creuse,23243,Saint-Silvain-sous-Toulx,147.0,46.25,2.149994
Creuse,23246,Saint-Sulpice-les-Champs,345.0,45.95,2.050003
Dordogne,24030,Beauregard-de-Terrasson,679.0,45.15,1.25
Dordogne,24040,Beynac-et-Cazenac,497.0,44.85,1.1499939
Dordogne,24052,Bouillac,126.0,44.75,0.94999695
Dordogne,24095,Chalais,404.0,45.55,0.94999695
Dordogne,24194,Gardonne,1590.0,44.85,0.3500061
Dordogne,24229,Le Lardin-Saint-Lazare,1665.0,45.15,1.25
Dordogne,24230,Larzac,150.0,44.75,1.050003
Dordogne,24236,Léguillac-de-l'Auche,981.0,45.15,0.55000305
Dordogne,24263,Mazeyrolles,304.0,44.65,1.050003
Dordogne,24278,Monmadalès,80.0,44.75,0.6499939
Dordogne,24287,Montaut,127.0,44.75,0.6499939
Dordogne,24385,Saint-Cernin-de-Labarde,224.0,44.75,0.55000305
Dordogne,24390,Saint-Crépin-d'Auberoche,332.0,45.15,0.8500061
Dordogne,24407,Sainte-Foy-de-Longas,242.0,44.95,0.75
Dordogne,24423,Saint-Julien-Innocence-Eulalie,311.0,44.75,0.3500061
Dordogne,24455,Saint-Martin-de-Ribérac,734.0,45.25,0.3500061
Dordogne,24490,Saint Privat en Périgord,1120.0,45.25,0.25
Doubs,25004,Abbévillers,1090.0,47.45,6.949997
Doubs,25011,Allenjoie,738.0,47.55,6.850006
Doubs,25029,Aubonne,251.0,47.05,6.350006
Doubs,25051,Belleherbe,621.0,47.25,6.649994
Doubs,25089,Bremondans,101.0,47.25,6.350006
Doubs,25119,Champvans-les-Moulins,318.0,47.25,5.949997
Doubs,25142,Chaux-Neuve,328.0,46.65,6.149994
Doubs,25160,Les Combes,766.0,47.05,6.550003
Doubs,25277,Gondenans-les-Moulins,80.0,47.45,6.350006
Doubs,25290,La Grange,96.0,47.25,6.649994
Doubs,25315,L'Isle-sur-le-Doubs,2830.0,47.45,6.550003
Doubs,25329,Laval-le-Prieuré,35.0,47.15,6.649994
Doubs,25335,Liebvillers,148.0,47.35,6.75
Doubs,25346,Longeville,187.0,47.05,6.25
Doubs,25368,Marchaux-Chaudefontaine,1446.0,47.35,6.149994
Doubs,25377,Mésandans,233.0,47.45,6.350006
Doubs,25382,Moncey,617.0,47.35,6.149994
Doubs,25404,Montmahoux,91.0,46.95,6.050003
Doubs,25411,Morteau,6867.0,47.05,6.550003
Doubs,25422,Neuchâtel-Urtière,168.0,47.35,6.75
Doubs,25426,Noirefontaine,327.0,47.35,6.75
Doubs,25436,Orve,56.0,47.35,6.550003
Doubs,25477,Rancenay,412.0,47.15,5.949997
Doubs,25482,Recologne,701.0,47.25,5.850006
Doubs,25494,Rochejean,729.0,46.75,6.25
Doubs,25507,Rouhe,77.0,47.05,5.949997
Doubs,25536,Sauvagney,194.0,47.35,5.949997
Doubs,25540,Semondans,312.0,47.55,6.649994
Doubs,25547,Sochaux,3795.0,47.55,6.850006
Doubs,25611,La Vèze,486.0,47.25,6.050003
Doubs,25617,Villars-sous-Dampjoux,350.0,47.35,6.75
Doubs,25629,Voillans,196.0,47.35,6.449997
Drôme,26021,Autichamp,143.0,44.65,4.949997
Drôme,26070,Chamaret,512.0,44.35,4.850006
Drôme,26073,Chantemerle-lès-Grignan,241.0,44.45,4.850006
Drôme,26084,Châteauneuf-sur-Isère,4038.0,45.05,4.949997
Drôme,26103,Condorcet,504.0,44.45,5.149994
Drôme,26170,Malissard,3271.0,44.95,4.949997
Drôme,26173,Marches,869.0,44.95,5.149994
Drôme,26206,Montmeyran,2960.0,44.85,4.949997
Drôme,26222,Orcinas,38.0,44.55,5.149994
Drôme,26225,Parnans,707.0,45.15,5.149994
Drôme,26235,Pierrelatte,13799.0,44.35,4.649994
Drôme,26242,Le Poët-en-Percip,19.0,44.25,5.350006
Drôme,26295,Saint-Barthélemy-de-Vals,1847.0,45.15,4.850006
Drôme,26311,Saint-Laurent-en-Royans,1396.0,45.05,5.350006
Drôme,26319,Saint-Michel-sur-Savasse,563.0,45.15,5.149994
Drôme,26358,Upie,1524.0,44.85,4.949997
Eure,27052,Le Bec-Hellouin,390.0,49.25,0.75
Eure,27115,Breux-sur-Avre,334.0,48.75,1.050003
Eure,27117,Broglie,1000.0,49.05,0.55000305
Eure,27138,Chamblac,372.0,48.95,0.55000305
Eure,27157,Marbois,1308.0,48.85,0.94999695
Eure,27194,Cuverville,249.0,49.25,1.3500061
Eure,27200,Dardez,137.0,49.05,1.25
Eure,27215,Ecquetot,388.0,49.15,1.050003
Eure,27228,Éturqueraye,304.0,49.35,0.6499939
Eure,27251,Fontaine-l'Abbé,557.0,49.05,0.6499939
Eure,27304,Guerny,158.0,49.25,1.6499939
Eure,27397,Ménilles,1738.0,49.05,1.3500061
Eure,27447,Le Val-Doré,885.0,48.95,0.94999695
Eure,27488,Renneville,199.0,49.45,1.3500061
Eure,27540,Sainte-Geneviève-lès-Gasny,654.0,49.05,1.550003
Eure,27663,Le Troncq,168.0,49.15,0.94999695
Eure-et-Loir,28032,Beauvilliers,344.0,48.35,1.6499939
Eure-et-Loir,28076,La Chapelle-Forainvilliers,202.0,48.75,1.449997
Eure-et-Loir,28079,Chapelle-Royale,308.0,48.15,1.050003
Ain,01045,Birieux,284.0,45.95,5.050003
Ain,01057,Boz,510.0,46.45,4.949997
Ain,01083,Chaneins,1003.0,46.05,4.850006
Ain,01092,Châtillon-la-Palud,1649.0,45.95,5.25
Ain,01115,Confrançon,1348.0,46.25,5.050003
Ain,01135,Crozet,2288.0,46.25,6.050003
Ain,01152,Échallon,765.0,46.25,5.75
Ain,01212,Lescheroux,714.0,46.45,5.149994
Ain,01224,Loyettes,3381.0,45.75,5.25
Ain,01255,Montagnieu,666.0,45.85,5.449997
Ain,01263,Montmerle-sur-Saône,3792.0,46.05,4.75
Ain,01437,Vescours,219.0,46.45,5.050003
Ain,01448,Villes,400.0,46.05,5.75
Aisne,02014,Amigny-Rouy,716.0,49.65,3.25
Aisne,02032,Aubigny-aux-Kaisnes,247.0,49.75,3.149994
Aisne,02157,Chambry,832.0,49.55,3.649994
Aisne,02173,Chauny,11496.0,49.65,3.25
Aisne,02223,Courboin,302.0,49.05,3.550003
Aisne,02233,Cramaille,139.0,49.25,3.449997
Aisne,02240,Croix-Fonsomme,192.0,49.95,3.350006
Aisne,02309,Festieux,695.0,49.55,3.75
Aisne,02311,Filain,119.0,49.45,3.550003
Aisne,02363,Guny,368.0,49.55,3.25
Aisne,02369,Harcigny,243.0,49.85,3.949997
Aisne,02380,Hinacourt,27.0,49.75,3.25
Aisne,02426,Levergies,541.0,49.95,3.350006
Aisne,02433,Lislet,221.0,49.65,4.050003
Aisne,02446,Ly-Fontaine,118.0,49.75,3.350006
Aisne,02501,Montchâlons,85.0,49.55,3.75
Aisne,02573,Orgeval,55.0,49.55,3.75
Aisne,02588,Pargnan,66.0,49.35,3.75
Aisne,02624,Proisy,273.0,49.85,3.75
Aisne,02667,Saconin-et-Breuil,197.0,49.35,3.25
Aisne,02699,Saponay,273.0,49.25,3.449997
Aisne,02709,Serain,400.0,50.05,3.350006
Aisne,02723,Soize,96.0,49.75,4.050003
Aisne,02744,Torcy-en-Valois,74.0,49.05,3.25
Aisne,02814,Villers-lès-Guise,163.0,49.95,3.649994
Aisne,02826,Voulpaix,348.0,49.85,3.850006
Allier,03068,Châtelus,108.0,46.25,3.75
Allier,03088,Courçais,313.0,46.45,2.449997
Allier,03099,Deux-Chaises,384.0,46.35,3.050003
Allier,03129,Hyds,304.0,46.25,2.850006
Allier,03138,Lapalisse,3137.0,46.25,3.649994
Allier,03142,Lenax,242.0,46.35,3.850006
Allier,03174,Molles,925.0,46.15,3.550003
Eure-et-Loir,28237,Marolles-les-Buis,207.0,48.35,0.94999695
Eure-et-Loir,28282,Nonvilliers-Grandhoux,432.0,48.35,1.1499939
Eure-et-Loir,28286,Ollé,625.0,48.35,1.25
Eure-et-Loir,28342,Saint-Jean-Pierre-Fixte,264.0,48.25,0.8500061
Eure-et-Loir,28360,Saint-Sauveur-Marville,925.0,48.55,1.25
Finistère,29010,Bodilis,1677.0,48.55,-4.1500244
Finistère,29043,Daoulas,1836.0,48.35,-4.25
Finistère,29065,Gourlizon,937.0,48.05,-4.25
Finistère,29085,Île-Tudy,741.0,47.85,-4.1500244
Finistère,29144,La Martyre,760.0,48.45,-4.1500244
Finistère,29178,Ploudalmézeau,6358.0,48.55,-4.6500244
Finistère,29215,Plozévet,2940.0,47.95,-4.450012
Finistère,29217,Pont-Aven,2813.0,47.85,-3.75
Finistère,29255,Saint-Méen,940.0,48.55,-4.25
Corse-du-Sud,2A041,Bonifacio,3200.0,41.95,8.649994
Corse-du-Sud,2A209,Peri,2040.0,42.05,8.649994
Corse-du-Sud,2A284,Sollacaro,369.0,41.95,8.649994
Haute-Corse,2B043,Brando,1580.0,42.75,8.649994
Haute-Corse,2B113,Ficaja,58.0,42.45,8.649994
Haute-Corse,2B126,Giuncaggio,72.0,42.15,8.649994
Haute-Corse,2B202,Parata,25.0,42.35,8.649994
Haute-Corse,2B275,Sermano,74.0,42.35,8.649994
Haute-Corse,2B291,Stazzona,34.0,42.35,8.649994
Haute-Corse,2B297,San-Damiano,53.0,42.45,8.649994
Haute-Corse,2B316,Santa-Reparata-di-Balagna,1004.0,42.55,8.649994
Haute-Corse,2B366,Chisa,108.0,41.95,8.649994
Gard,30019,Aubais,2958.0,43.75,4.149994
Gard,30032,Beaucaire,15680.0,43.75,4.550003
Gard,30040,Blandas,126.0,43.95,3.550003
Gard,30044,Bonnevaux,80.0,44.35,4.050003
Gard,30051,Branoux-les-Taillades,1315.0,44.25,3.949997
Gard,30060,Caissargues,4097.0,43.75,4.350006
